059000001001010102001   5310 #0001    N 086307 DECEADBDEADBBDEEDCCBCEECECACBDEBECDBADCB                    
059000002001010102001   5310 #0001    N 086412 BADBCBEDBDDDBBEABDBCACBDCDAEEBEADBCEDACB                    
059000003001010102001   5310 #0001    N 086413 DCECBADDCBADCCCDCDACADBAEEABABADCCEDCDBB                    
059000004001010102001   5310 #0001    N 086411 BDEBCDCBEBDEACBACDAEABDCEABCADACBBDCADEA                    
059000005001010102001   5310 #0001    N 086308 BECBEBDBDCCBCCDBECBDDEBDCAADBEAACABBBDCD                    
059000006001010102001   5310 #0001    N 086309 CECEAEECAADADEDAACBBEEDAEADBDEBCADDCDDAA                    
059000007001010102001   5310 #0001    N 086310                                                             
059000008001010102001   5310 #0001    N 086311 BEB ABCADBCBDBEAD*BDBDDEBCACBCCBCCCBADEC                    
059000009001010102001   5310 #0001    N 086312 DDEBCEDDDBCACCADBDABBDCADCEBADCABCDCBDCB                    
059000010001010102001   5310 #0001    N 086401 BDABBBEECDDCACBEEEBBADDCBCDDBCCCBEEEAAAA                    
059000011001010102001   5310 #0001    N 086402 BBEBE EDA  CAC A EB AEC  CACA CA DBAAD A                    
059000012001010102001   5310 #0001    N 086403 EBCEEECBDDCCCBBBCEABDDAEBCCEABDCDCABCDDB                    
059000013001010102001   5310 #0001    N 086404 DECDEBBADACDADCBCEDEBBACECCCDAEDBCACCDCB                    
059000014001010102001   5310 #0001    N 086405 DCCBCCBDECDBCBEBEDDAEBDCBCEBCBADBDBBCDCD                    
059000015001010102001   5310 #0001    N 086406 BCEDBBDACADBCCAAEAAEADACBBABCBACEAECCDDA                    
059000016001010102001   5310 #0001    N 086407 EDDBCBDECAEAEBCBABDEDDEBDCEEEBDDDDEEADDA                    
059000017001010102001   5310 #0001    N 086408 ABAABACDCCABBCABACBADEADBBCBAACBDBBAABBA                    
059000018001010102001   5310 #0001    N 086409 BDACEECDDBAEDBDACCBBADCCDCDCDBCADBBEADCD                    
059000019001010102001   5310 #0001    N 086410 ECDBAACAECCECDEEAAEBCBCABBDBDBCDCDDDDCDD                    
059000020001010102001   5310 #0001    N 086391 CBCEEEDBDCCEBBBABEABBAECEABBEBBCEDDDBDDA                    
059000021001010102001   5310 #0001    N 086392 CAD EB  EAAADDBA  AECBAB CB    B   EACA                     
