059000001001010102001   5310 #0001    N 086122 BEBAEDCBCDADBCDB BDE  D ADECAE  C  D EED                    
059000002001010102001   5310 #0001    N 086123 CEAADBCBCEADECABEEDBBDBBBBBBAECADBADEBAB                    
059000003001010102001   5310 #0001    N 086124 EDDBEABDEBDEDAEDCBCECCAEBBAAAECDDEDDCBEB                    
059000004001010102001   5310 #0001    N 086125 CDECEACBC DDBA E BEADECEAADADB DBEAC DA                     
059000005001010102001   5310 #0001    N 086126 BEBACBCBEBADBCCCEBDEDDDAAABCAEC CADDCBEC                    
059000006001010102001   5310 #0001    N 086127 BACAEBCECBBDBECEDCECDA DAEBDEECABCDBABCD                    
059000007001010102001   5310 #0001    N 086195 BEBAECCDCDABDDCAEBDECDDEDCABABEBEADDCCAC                    
059000008001010102001   5310 #0001    N 086196                                                             
059000009001010102001   5310 #0001    N 086197 BEBAEBEDEDBABCDBDCA D D  CECAEBCCA ADBDD                    
059000010001010102001   5310 #0001    N 086198 DDBABEEBABABDECEDDBEBACEBBDCDDADDDBECCCC                    
059000011001010102001   5310 #0001    N 086199 CEEAEDCCCDADBEAECEBBECACAEBCBECDCDDDDCEC                    
059000012001010102001   5310 #0001    N 086200 EEAACABDDCDCBACBEEDADABBBDABAECDD*DCCBCD                    
059000013001010102001   5310 #0001    N 086201  BBCEBCBEEADBCCECDAECCDBEED BE  CCDE B                      
059000014001010102001   5310 #0001    N 086202 BEABEBEBACADBCBDABBCBDBEBDACAEDBDDAACDCE                    
059000015001010102001   5310 #0001    N 086203 BEBACBEBEDAABEADDBDECEEDBEE                                 
059000016001010102001   5310 #0001    N 086204 BEEADBCBEDACBECEADDEDCEBAABBBEDECADDCEED                    
059000017001010102001   5310 #0001    N 086205 CEEACBCBCDADBCCCEBBEDBABAECCDECACADDCEDB                    
059000018001010102001   5310 #0001    N 086206 CEBAEACBACBDBECACCBEBCCAABCCDECDEDBADCCA                    
059000019001010102001   5310 #0001    N 086207 BBECDACBABB BEDAECBAECCAABDCAECCBAACBDAB                    
059000020001010102001   5310 #0001    N 086208 ABCAEBCBEBACBEDEEEBBBBBCABAEBEDCCABDDDAB                    
059000021001010102001   5310 #0001    N 086209 DDCACCDABCA DEB E   ECA A BE BDADAC AAE                     
059000022001010102001   5310 #0001    N 086210 BCDECCDDABADCC   BC BCDC DA DECD AC A CC                    
059000023001010102001   5310 #0001    N 086211 BDDBCDBAEBDDBACDDBBEEABCECDDDBAECBDCBBAC                    
059000024001010102001   5310 #0001    N 086212 BCDEEBCBECAADABEDABCADBCBBBBAECECAAAACAB                    
059000025001010102001   5310 #0001    N 086213 EEEABBCBDAADBACCEBBCDBACABACABCABADDDCAE                    
059000026001010102001   5310 #0001    N 086214                                                             
059000027001010102001   5310 #0001    N 086215 BBDBEADCBEAABBEDEDBCDDACCBBEAEDACBAADDBC                    
059000028001010102001   5310 #0001    N 086216 DECCECCBBDADBDDACEDCDABCEEEEBBDACADDEBBD                    
059000029001010102001   5310 #0001    N 086217 BCBADACBDBADBACADEDECCAACBBAABDBDCCDABCB                    
059000030001010102001   5310 #0001    N 086218 CDDBECDDBEBCAAEDABBCDEBDCBBEADAEBBADCCAC                    
059000031001010102001   5310 #0001    N 086219 EBDAEBCBDCADBADABBDED CADCBADECED    CB                     
059000032001010102001   5310 #0001    N 086220 DCABEDABADBBBCCEACBCDCAAABACBEEBCCEAEECC                    
059000033001010102001   5310 #0001    N 086221  EBAEDCBEDADBCDEEDDE DABA BBAED C DD EEC                    
059000034001010102001   5310 #0001    N 086222 BEBACBCBEDAEBEECE BB AACAEBAAEC BADCCDEA                    
059000035001010102001   5310 #0001    N 086223 E B DEEBD A BA  B D     A  AAE                              
059000036001010102001   5310 #0001    N 086224 BABBCEECACACBAEDCDEEC DBCACEBDECABD                         
059000037001010102001   5310 #0001    N 086225 BEEADBCBE AEBCDEEBDEC  ABEA  ED  BA CE                      
059000038001010102001   5310 #0001    N 086226 EECAEAABEEACBDDBDDDCCBACAEAAAEDEDBAACBBC                    
059000039001010102001   5310 #0001    N 086227 DEEAEBABCAADBCBBEAAB EA BBEBBEEDBCB EDA                     
059000040001010102001   5310 #0001    N 086228 DDDACBBBEDCCDBEBADBCAECEDBBCAEDEBBDCCBEC                    
059000041001010102001   5310 #0001    N 086082 BBABECDABCADAADDBBDBBEBDBBCBADEBCCAABBBB                    
059000042001010102001   5310 #0001    N 086085 ACCCACDBDCDBCADBECADCAAADACC*EECABECCADA                    
059000043001010102001   5310 #0001    N 086083 ECDDCADCCDADBECEDBBCDDBDBBBBADCBBADCCCEC                    
059000044001010102001   5310 #0001    N 086086 ACCACBDBCEACEBDDCACBEDAACCDBDEECABECDAEC                    
059000045001010102001   5310 #0001    N 086094 CEBADBCBEDADBCCEEBBEDBDEAEBCDECBCACDDBEC                    
059000046001010102001   5310 #0001    N 086101 CECAEBCBEDADBDDCBBBECBAAABBCAECCCACDDEEC                    
059000047001010102001   5310 #0001    N 086106  BE   BC  CCDAE    AB BED E AE B  BABC                      
059000048001010102001   5310 #0001    N 086116 AAEDEDAACAADBDDBDEABBCAADDDEDEAABEAACEEA                    
059000049001010102001   5310 #0001    N 086100 DACCEAAABBACBAEBBDBCDBECEBEBCEEBDEAADCBC                    
059000050001010102001   5310 #0001    N 086091 DBEBEBEEBAACBEEACBBCCBBDEBBCAEEAACEDCEBC                    
059000051001010102001   5310 #0001    N 086108 BEBBDBECECBDCEECACECDEBE*BCCDBDAECECDCBC                    
059000052001010102001   5310 #0001    N 086096 EDBADCCBBCACACCCEEDBBBBCCECDBEEBDBAADDEC                    
059000053001010102001   5310 #0001    N 086113 AAEAEBEABDAABEBEDEDEECDCBBCCDECCCCBDDDCE                    
059000054001010102001   5310 #0001    N 086095 BAECECCBCDDDBADBBBBACCEABCBDBEBADCADABBC                    
059000055001010102001   5310 #0001    N 086109 BCEADDABBDADBCCEACCECBAAEBACBECDCADDCBEC                    
059000056001010102001   5310 #0001    N 086089 EEBADBCBBBADBADDEBDEBCADABBCEBEAAADDEBEE                    
059000057001010102001   5310 #0001    N 086087 ADDADBDCCAABDBCEECDBDEBCBCACAECDDBCCDEDA                    
059000058001010102001   5310 #0001    N 086118 BEECEBCDCEADBBDCCBDBCADCBBCCBEDEEBDACCBC                    
059000059001010102001   5310 #0001    N 086117 BBEBDACBEEAABCECCBDECDBCDBBEAECBCACDEBAD                    
059000060001010102001   5310 #0001    N 086121 EEEAEBCBEDAEBACEEDBECCEDAEDCBEECCADDCEEC                    
059000061001010102001   5310 #0001    N 086107 CEAACBCBDDADBEDEDEDE   CAEBCAEC DAEDEBE                     
059000062001010102001   5310 #0001    N 086099  ECADBAB DADBCD EBBEC AAA BCBEC  CDD EEC                    
059000063001010102001   5310 #0001    N 086120 BDBADBABEAADBADDDBCBEDEEBDBAAEDBAADBCCBC                    
059000064001010102001   5310 #0001    N 086084 BBBAEDCBBBEBBACBBBDBBABBEBABAEBBBBBBBBA                     
059000065001010102001   5310 #0001    N 086115 EECBDBCEEADEBDBDCCDBCAECBDBEBDACDBEACCDB                    
059000066001010102001   5310 #0001    N 086111 AEEBEBCDADADBAECDCDEBEACBDBDEDEBDAEDACDA                    
059000067001010102001   5310 #0001    N 086119 BDBACDBBEAADBA ACDDBCEAEEBBAAEDBAABDCCBC                    
059000068001010102001   5310 #0001    N 086097 BBBABDABECAEBACEAABACDCDEBEBBEDADCCDEBED                    
059000069001010102001   5310 #0001    N 086088 BBEAEBCBCEDDECDBDDDCEDDBBBACBDDBB DACBBC                    
059000070001010102001   5310 #0001    N 086092                                                             
059000071001010102001   5310 #0001    N 086090                                                             
